"filename", "language", "GDScript", "comment", "blank", "total"
"d:\GODOT 3.6\projetos\dragon_mania\scripts\camera\CameraController.gd", "GDScript", 192, 37, 73, 302
"d:\GODOT 3.6\projetos\dragon_mania\scripts\decoration\DecorationCatalog.gd", "GDScript", 77, 3, 20, 100
"d:\GODOT 3.6\projetos\dragon_mania\scripts\decoration\DecorationItem.gd", "GDScript", 110, 14, 40, 164
"d:\GODOT 3.6\projetos\dragon_mania\scripts\decoration\Tree.gd", "GDScript", 33, 6, 15, 54
"d:\GODOT 3.6\projetos\dragon_mania\scripts\dragon\Dragon.gd", "GDScript", 192, 23, 63, 278
"d:\GODOT 3.6\projetos\dragon_mania\scripts\dragon\DragonBehavior.gd", "GDScript", 204, 33, 72, 309
"d:\GODOT 3.6\projetos\dragon_mania\scripts\dragon\DragonPersonality.gd", "GDScript", 334, 31, 93, 458
"d:\GODOT 3.6\projetos\dragon_mania\scripts\dragon\DragonStats.gd", "GDScript", 98, 7, 25, 130
"d:\GODOT 3.6\projetos\dragon_mania\scripts\managers\DecorationManager.gd", "GDScript", 248, 38, 101, 387
"d:\GODOT 3.6\projetos\dragon_mania\scripts\managers\DragonManager.gd", "GDScript", 76, 5, 35, 116
"d:\GODOT 3.6\projetos\dragon_mania\scripts\ui\CustomStatusBar.gd", "GDScript", 0, 54, 1, 55
"d:\GODOT 3.6\projetos\dragon_mania\scripts\ui\DecorationUI.gd", "GDScript", 154, 26, 49, 229
"d:\GODOT 3.6\projetos\dragon_mania\scripts\ui\DragonInfoUI.gd", "GDScript", 511, 637, 182, 1330
"d:\GODOT 3.6\projetos\dragon_mania\scripts\ui\UITheme.gd", "GDScript", 0, 45, 1, 46
"d:\GODOT 3.6\projetos\dragon_mania\scripts\utils\Enums.gd", "GDScript", 35, 6, 5, 46
"Total", "-", 2264, 965, 775, 4004
